#!format=2
# Station Name;Slot;Module Name;Model Id;I Addr;Q Addr;Custom Parameters  (Slot = plug order; first free position is used)
n0025-uc14-el001-k30001;3;-K30004;6ES7136-6BA01-0CA0;772;772;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0025-uc14-el001-k30001;4;-K30005;6ES7136-6BA01-0CA0;782;782;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0026-uc144-xn10;1;-XN10;55556_DefaultCard;887;887;Failsafe_FDestinationAddress=026
n0038-uc1-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;918;918;
n0038-uc1-el001-k30001;2;-K30003;6ES7136-6BA01-0CA0;929;929;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0038-uc1-el001-k30001;3;-K30004;6ES7136-6BA01-0CA0;939;939;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0038-uc1-el001-k30001;4;-K30005;6ES7136-6DB00-0CA0;969;969;PotentialGroup=1
n0038-uc1-el001-k30001;5;-K30006;6ES7132-6BH01-0BA0;979;979;
n0039-lv001-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;1010;1010;
n0039-lv001-el001-k30001;2;-K30003;6ES7136-6BA01-0CA0;1021;1021;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0039-lv001-el001-k30001;3;-K30004;6ES7136-6DB00-0CA0;1051;1051;PotentialGroup=1
n0040-lv001-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;1081;1081;
n0040-lv001-el001-k30001;2;-K30003;6ES7136-6BA01-0CA0;1092;1092;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0040-lv001-el001-k30001;3;-K30004;6ES7136-6DB00-0CA0;1122;1122;PotentialGroup=1
n0041-uf31-el002-k30001;1;-K30002;6ES7131-6BH01-0BA0;1152;1152;
n0041-uf31-el002-k30001;2;-K30003;6ES7136-6BA01-0CA0;1163;1163;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0041-uf31-el002-k30001;3;-K30004;6ES7136-6BA01-0CA0;1173;1173;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0041-uf31-el002-k30001;4;-K30005;6ES7136-6DB00-0CA0;1203;1203;PotentialGroup=1
n0042-uf41-el002-k30001;1;-K30002;6ES7131-6BH01-0BA0;1233;1233;
n0042-uf41-el002-k30001;2;-K30003;6ES7136-6BA01-0CA0;1244;1244;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0042-uf41-el002-k30001;3;-K30004;6ES7136-6DB00-0CA0;1274;1274;PotentialGroup=1
n0042-uf41-el002-k30001;4;-K30005;6ES7136-6DB00-0CA0;1279;1279;
n0044-ct1-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;1309;1309;
n0044-ct1-el001-k30001;2;-K30003;6ES7136-6BA01-0CA0;1320;1320;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0044-ct1-el001-k30001;3;-K30004;6ES7136-6BA01-0CA0;1330;1330;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0044-ct1-el001-k30001;4;-K30005;6ES7136-6BA01-0CA0;1340;1340;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0044-ct1-el001-k30001;5;-K30006;6ES7136-6BA01-0CA0;1350;1350;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0044-ct1-el001-k30001;6;-K30007;6ES7136-6BA01-0CA0;1360;1360;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0044-ct1-el001-k30001;7;-K30008;6ES7136-6DB00-0CA0;1390;1390;PotentialGroup=1
n0044-ct1-el001-k30001;8;-K30009;6ES7136-6DB00-0CA0;1395;1395;
n0045-ct1-el002-k30001;1;-K30002;6ES7131-6BH01-0BA0;1425;1425;
n0045-ct1-el002-k30001;2;-K30003;6ES7136-6BA01-0CA0;1436;1436;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0045-ct1-el002-k30001;3;-K30004;6ES7136-6BA01-0CA0;1446;1446;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0045-ct1-el002-k30001;4;-K30005;6ES7136-6BA01-0CA0;1456;1456;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0045-ct1-el002-k30001;5;-K30006;6ES7136-6BA01-0CA0;1466;1466;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0045-ct1-el002-k30001;6;-K30007;6ES7136-6BA01-0CA0;1476;1476;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0045-ct1-el002-k30001;7;-K30008;6ES7136-6DB00-0CA0;1506;1506;PotentialGroup=1
n0045-ct1-el002-k30001;8;-K30009;6ES7136-6DB00-0CA0;1511;1511;
n0046-ct1-el003-k30001;1;-K30002;6ES7131-6BH01-0BA0;1541;1541;
n0046-ct1-el003-k30001;2;-K30003;6ES7136-6BA01-0CA0;1552;1552;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0046-ct1-el003-k30001;3;-K30004;6ES7136-6BA01-0CA0;1562;1562;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0046-ct1-el003-k30001;4;-K30005;6ES7136-6BA01-0CA0;1572;1572;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0046-ct1-el003-k30001;5;-K30006;6ES7136-6BA01-0CA0;1582;1582;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0046-ct1-el003-k30001;6;-K30007;6ES7136-6BA01-0CA0;1592;1592;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0046-ct1-el003-k30001;7;-K30008;6ES7136-6DB00-0CA0;1622;1622;PotentialGroup=1
n0046-ct1-el003-k30001;8;-K30009;6ES7136-6DB00-0CA0;1627;1627;
n0047-lv002-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;1657;1657;
n0047-lv002-el001-k30001;2;-K30003;6ES7136-6BA01-0CA0;1668;1668;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0047-lv002-el001-k30001;3;-K30004;6ES7136-6DB00-0CA0;1698;1698;PotentialGroup=1
n0048-lv002-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;1728;1728;
n0048-lv002-el001-k30001;2;-K30003;6ES7136-6BA01-0CA0;1739;1739;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0048-lv002-el001-k30001;3;-K30004;6ES7136-6DB00-0CA0;1769;1769;PotentialGroup=1
n0050-uc13-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;1799;1799;
n0050-uc13-el001-k30001;2;-K30003;6ES7131-6BH01-0BA0;1801;1801;
n0050-uc13-el001-k30001;3;-K30004;6ES7136-6BA01-0CA0;1812;1812;Failsafe_DiscrepancyTime.Ch(0-7)=100
