#!format=2
# Role;Station Name;Model Id;IP Address;PN Number;Subnet;Custom Parameters  (PN Number empty = last IP octet)
IoDevice;n0051-uc24-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.51;;Subnet51;
IoDevice;n0052-uc244-xn10;55556;192.168.51.52;;Subnet51;
IoDevice;n0056-uc23-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.56;;Subnet51;
IoDevice;n0057-uc234-xn10;55556;192.168.51.57;;Subnet51;
IoDevice;n0058-ct2-el003-k30001;6ES7155-6AU01-0BN0;192.168.51.58;;Subnet51;
IoDevice;n0061-uc22-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.61;;Subnet51;
IoDevice;n0062-uc224-xn10;55556;192.168.51.62;;Subnet51;
IoDevice;n0063-lv006-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.63;;Subnet51;
IoDevice;n0066-uc21-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.66;;Subnet51;
IoDevice;n0067-uc214-xn10;55556;192.168.51.67;;Subnet51;
IoDevice;n0070-uf31-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.70;;Subnet51;
IoDevice;n0071-uf41-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.71;;Subnet51;
IoDevice;n0072-uf51-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.72;;Subnet51;
IoDevice;n0080-uf511-xn10;55556;192.168.51.80;;Subnet51;
IoDevice;n0073-ifg31-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.73;;Subnet51;
IoDevice;n0074-ifg41-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.74;;Subnet51;
IoDevice;n0075-uf32-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.75;;Subnet51;
IoDevice;n0076-uf42-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.76;;Subnet51;
IoDevice;n0082-zp002-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.82;;Subnet51;
IoDevice;n0083-lv001-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.83;;Subnet51;
IoDevice;n0084-lv001-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.84;;Subnet51;
IoDevice;n0085-uc29-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.85;;Subnet51;
IoDevice;n0092-zp001-el001-k24501;6ES7158-3AD10-0XA0;192.168.51.92;;Subnet51;
IoDevice;n0091-zp001-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.91;;Subnet51;
IoDevice;n0093-ug7-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.93;;Subnet51;
IoDevice;n0094-ug7-xn10;55556;192.168.51.94;;Subnet51;
