name,required_types,dev_type,direction,data_type,script_type,member,interface_tagname
Door Open Request,DI1/2|DI2/2,,I,BOOL,IF_DOOR_CMD,Open Door Request [ {functional_unit}{location}{device} ],PNC_{direction}_{member}
Encoder Speed Word,N1/2|N2/2,,Q,WORD,IF_ENCODER_SPEED,Encoder Speed [ {functional_unit}{location}{device} ],PNC_{direction}_{member}
