type_id,type_id_desc,category,pair_key,channel,is_pattern,tagtable_name,tag_name,db_names,db_element,in_diag,diag_logic,diag_desc,tristate_desc,io_comment,ce_mandatory,diag_container_check,interface_tagname
KI2/3,Contactor Feedback Input,Safety,KI,2,no,SAFETY_Contactors,Contactor Feedback Input [ {iol_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{tag_name}
KI3/3,Contactor Feedback Input,Safety,KI,3,no,SAFETY_Contactors,Contactor Feedback Input [ {iol_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{tag_name}
KI1/4,Contactor Feedback Input,Safety,KI,1,no,SAFETY_Contactors,Contactor Feedback Input [ {iol_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{tag_name}
KI2/4,Contactor Feedback Input,Safety,KI,2,no,SAFETY_Contactors,Contactor Feedback Input [ {iol_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{tag_name}
KI3/4,Contactor Feedback Input,Safety,KI,3,no,SAFETY_Contactors,Contactor Feedback Input [ {iol_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{tag_name}
KI4/4,Contactor Feedback Input,Safety,KI,4,no,SAFETY_Contactors,Contactor Feedback Input [ {iol_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],no,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{tag_name}
KQ,Contactor Output,Safety,,,no,SAFETY_Contactors,Contactor Output [ {combined_FLD} ],03_FDBACK|03_FDBACK_RAW,Contactor Feedback Error [ {combined_FLD} ],yes,invert,FEEDBACK OF SAFETY RELAY FAULT {desc_l1b} {combined_FLD},,[ {script_type} {index}  {drawing} ],yes,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{tag_name}
KQ1/2,Contactor Output,Safety,,,no,SAFETY_Contactors,Contactor Output [ {combined_FLD} ],03_FDBACK|03_FDBACK_RAW,Contactor Feedback Error [ {combined_FLD} ],yes,invert,FEEDBACK OF SAFETY RELAY FAULT {desc_l1b} {combined_FLD},,[ {script_type} {index}  {drawing} ],yes,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{tag_name}
KQ2/2,Contactor Output,Safety,,,no,SAFETY_Contactors,Contactor Output [ {combined_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],yes,{functional_unit}{location},PNC_Q_{interface_name}-{interface_id}_{tag_name}
R*,Emergency Reset GLOBAL,Safety,,,no,RESET,Emergency Reset GLOBAL Command [ {iol_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],warn,,PNC_Q_{interface_name}-{interface_id}_{tag_name}
R#,Emergency Reset Area #,Safety,,,yes,RESET,Emergency Reset Command Area {desc_1b} [ {iol_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],warn,,PNC_Q_{interface_name}-{interface_id}_{tag_name}
Z#,Emergency Status Feedback Area #,Safety,,,yes,SAFETY_Status,Emergency Status Feedback Area {desc_1b} [ {iol_FLD} ],,,yes,invert,,,[ {script_type} {index}  {drawing} ],no,area,PNC_Q_{interface_name}-{interface_id}_{tag_name}
F1/2,Fire Alarm,Safety,F,1,no,SAFETY_Status,Fire Alarm [ {iol_FLD} ],,,yes,invert,,,[ {script_type} {index}  {drawing} ],no,fire,PNC_Q_{interface_name}-{interface_id}_{tag_name}
F2/2,Fire Alarm,Safety,F,2,no,SAFETY_Status,Fire Alarm [ {iol_FLD} ],,,no,,,,[ {script_type} {index}  {drawing} ],no,,PNC_Q_{interface_name}-{interface_id}_{tag_name}
IOC,Machine Interface (I/O Controller),Interface,,,no,IOCouplers_Interfaces,,,,no,,,,[ {script_type} {index}  {drawing} ],no,,
