permanent_part
EXTERNALLY INDUCED EMERGENCY
EMERGENCY PUSH BUTTON PRESSED
EMERGENCY STOP WITH PULL CORD
FEEDBACK OF SAFETY RELAY FAULT 
FEEDBACK OF RELAY FAULT 
EMERGENCY RESET KEY FAULT
SAFETY ENCODER FAILURE
FIELD BUS FAILURE - INPUT / OUTPUT MODULE
FIELD BUS FAILURE - DRIVE
FIELD BUS FAILURE - GATEWAY
FIELD BUS FAILURE - COUPLER
FIELD BUS FAILURE - BARRIER
FIELD BUS MODULE FAILURE
PROFINET SWITCH FAULT
ETHERNET SWITCH FAULT
SWITCH DISCONNECTOR IS OPEN
SAFETY DOOR OPEN
SAFETY DOOR INTERLOCK FAULT
CIRCUIT BREAKER TRIPPED
POWER SUPPLY 24V MISSING
POWER SUPPLY UNIT FAILURE
POWER SUPPLY UNIT OVERCURRENT
POWER SUPPLY UNIT OVERTEMPERATURE 
POWER SUPPLY UNIT FAN NOT WORKING
OVERTEMPERATURE ALARM
FAULT CONDITIONER
EXTERNAL DEVICE FAILURE
WHEEL DIAGNOSTIC PC - NOISE WARNING - THRESHOLD 2
WHEEL DIAGNOSTIC PC - NOISE WARNING - THRESHOLD 1
WHEEL DIAGNOSTIC PC - TEMPERATURE ALARM
