# Station Name;Device Type;IP Address;Submodule 1 Name;Submodule 1 Type;Submodule 2 Name;Submodule 2 Type;...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0093-ug7-el001-k30001;6ES7155-6AU01-0BN0;192.168.51.93;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7131-6BH01-0BA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;-K30010;6ES7136-6DB00-0CA0;-K30011;6ES7136-6DB00-0CA0;-K30012;6ES7136-6DB00-0CA0;-K30013;6ES7136-6DB00-0CA0;-K30014;6ES7136-6DB00-0CA0;;;;;;;;;;
n0006-zp001-el001-k25501;6ES7158-3AD10-0XA0;192.168.50.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0007-zp001-el001-k25502;6ES7158-3AD10-0XA0;192.168.50.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0008-zp001-el001-k25601;6ES7158-3AD10-0XA0;192.168.50.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0009-zp001-el001-k25602;6ES7158-3AD10-0XA0;192.168.50.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0010-zp001-el001-k24501;6ES7158-3AD10-0XA0;192.168.50.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0092-zp001-el001-k24501;6ES7158-3AD10-0XA0;192.168.51.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0013-uf317-xn10;55556;192.168.50.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0016-uc164-xn10;55556;192.168.50.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0023-uc154-xn10;55556;192.168.50.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0026-uc144-xn10;55556;192.168.50.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0051-uc134-xn10;55556;192.168.50.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0055-uc124-xn10;55556;192.168.50.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
