# Station Name;Device Model Identifier;IP Address;Subnet Name;Device Custom Parameters;Submodule 1 Name;Submodule 1 Model;Submodule 1 Addresses (I&Q);Submodule 1 Custom Parameters;Submodule 2 Name;Submodule 2 Model;Submodule 2 Addresses (I&Q);Submodule 2 Custom Parameters;Submodule 3 Name;Submodule 3 Model;Submodule 3 Addresses (I&Q);Submodule 3 Custom Parameters;Submodule 4 Name;Submodule 4 Model;Submodule 4 Addresses (I&Q);Submodule 4 Custom Parameters;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0006-zp001-el001-k25501;6ES7158-3AD10-0XA0;192.168.50.6;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0007-zp001-el001-k25502;6ES7158-3AD10-0XA0;192.168.50.7;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0008-zp001-el001-k25601;6ES7158-3AD10-0XA0;192.168.50.8;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0009-zp001-el001-k25602;6ES7158-3AD10-0XA0;192.168.50.9;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0026-uc144-xn10;55556;192.168.50.26;Subnet50;;-XN10;55556_DefaultCard;887&887;Failsafe_FDestinationAddress=026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0038-uc1-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.38;Subnet50;;-K30002;6ES7131-6BH01-0BA0;918&918;;-K30003;6ES7136-6BA01-0CA0;929&929;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6BA01-0CA0;939&939;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6DB00-0CA0;969&969;PotentialGroup=1;-K30006;6ES7132-6BH01-0BA0;979&979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0039-lv001-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.39;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1010&1010;;-K30003;6ES7136-6BA01-0CA0;1021&1021;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6DB00-0CA0;1051&1051;PotentialGroup=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0040-lv001-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.40;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1081&1081;;-K30003;6ES7136-6BA01-0CA0;1092&1092;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6DB00-0CA0;1122&1122;PotentialGroup=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0041-uf31-el002-k30001;6ES7155-6AU01-0BN0;192.168.50.41;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1152&1152;;-K30003;6ES7136-6BA01-0CA0;1163&1163;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6BA01-0CA0;1173&1173;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6DB00-0CA0;1203&1203;PotentialGroup=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0042-uf41-el002-k30001;6ES7155-6AU01-0BN0;192.168.50.42;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1233&1233;;-K30003;6ES7136-6BA01-0CA0;1244&1244;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6DB00-0CA0;1274&1274;PotentialGroup=1;-K30005;6ES7136-6DB00-0CA0;1279&1279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0044-ct1-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.44;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1309&1309;;-K30003;6ES7136-6BA01-0CA0;1320&1320;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6BA01-0CA0;1330&1330;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;1340&1340;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30006;6ES7136-6BA01-0CA0;1350&1350;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6BA01-0CA0;1360&1360;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30008;6ES7136-6DB00-0CA0;1390&1390;PotentialGroup=1;-K30009;6ES7136-6DB00-0CA0;1395&1395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0045-ct1-el002-k30001;6ES7155-6AU01-0BN0;192.168.50.45;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1425&1425;;-K30003;6ES7136-6BA01-0CA0;1436&1436;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6BA01-0CA0;1446&1446;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;1456&1456;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30006;6ES7136-6BA01-0CA0;1466&1466;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6BA01-0CA0;1476&1476;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30008;6ES7136-6DB00-0CA0;1506&1506;PotentialGroup=1;-K30009;6ES7136-6DB00-0CA0;1511&1511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0046-ct1-el003-k30001;6ES7155-6AU01-0BN0;192.168.50.46;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1541&1541;;-K30003;6ES7136-6BA01-0CA0;1552&1552;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6BA01-0CA0;1562&1562;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;1572&1572;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30006;6ES7136-6BA01-0CA0;1582&1582;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6BA01-0CA0;1592&1592;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30008;6ES7136-6DB00-0CA0;1622&1622;PotentialGroup=1;-K30009;6ES7136-6DB00-0CA0;1627&1627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0047-lv002-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.47;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1657&1657;;-K30003;6ES7136-6BA01-0CA0;1668&1668;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6DB00-0CA0;1698&1698;PotentialGroup=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0048-lv002-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.48;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1728&1728;;-K30003;6ES7136-6BA01-0CA0;1739&1739;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6DB00-0CA0;1769&1769;PotentialGroup=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0050-uc13-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.50;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1799&1799;;-K30003;6ES7131-6BH01-0BA0;1801&1801;;-K30004;6ES7136-6BA01-0CA0;1812&1812;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;1822&1822;Failsafe_DiscrepancyTime.Ch(0-7)=100,Failsafe_SensorEvaluation.Ch(3)=0;-K30006;6ES7136-6BA01-0CA0;1832&1832;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6BA01-0CA0;1842&1842;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30008;6ES7136-6DB00-0CA0;1872&1872;PotentialGroup=1;-K30009;6ES7136-6DB00-0CA0;1877&1877;;-K30010;6ES7136-6DB00-0CA0;1882&1882;;-K30011;6ES7136-6DB00-0CA0;1887&1887;;-K30012;6ES7136-6DB00-0CA0;1892&1892;;-K30013;6ES7136-6DB00-0CA0;1897&1897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0051-uc134-xn10;55556;192.168.50.51;Subnet50;;-XN10;55556_DefaultCard;1927&1927;Failsafe_FDestinationAddress=051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
